Description,Latitude,Longitude,Bin no.
"MC - 316 - Enniskerry Road, at bus stop outside the Old Rectory estate",53.25563057,-6.219237187,315
"MD - 316 - Belermine, at bus stop, outside Belermine Plaza",53.26127833,-6.22045,316
"ME - 317 - Sandyford Road, at bus stop at entrance to Kilcross",53.26980308,-6.22894172,317
"MF - 318 - Sandyford Village, at junction with Sandyford Park",53.27027678,-6.225472639,318
"MG - 319 - Sandyford Village, at junction with Walsh's Sandyford House",53.26999437,-6.225055287,319
"MH - 320 - Sandyford Village, outside the Sitting Room hair boutique",53.26994671,-6.224859266,320
MI - 321 - Sandyford Road at bus stop (at mint),53.27543318,-6.229510782,321
"MJ - 322 - Sandyford Road, outside Ballawley Park playground",53.27999119,-6.232036876,322
"MK - 323 - Parkvale, beside entrance to Ballawley Park",53.28047167,-6.234268333,323
"ML - 324 - Overend Way, across from Balally LUAS stop, Dundrum",53.28588,-6.237851667,324
"MM - 325 - Sandyford Road, beside Dundrum Town Centre red car park entrance",53.28720364,-6.240094057,325
"MN - 326 - Sandyford Road, outside Drummarian car park",53.28800015,-6.241285209,326
"MO - 327 - Sandyford Road, beside Dundrum Town Centre Taxi Rank",53.28848667,-6.242358333,327
"MP - 328- Main Street, outside Dundrum church",53.28969061,-6.24396172,328
"MQ - 329 - Main Street, ouside old shopping centre",53.29116513,-6.245586978,329
"MR - 330 - Old Dundrum Shopping Centre, beside the bottlebanks",53.2903473,-6.245581613,330
"MS - 331 - Sweetmount Avenue, beside Dundrum Library",53.29232833,-6.246863333,331
"MT - 332 - Churchtown Road, outside Notre Dame School",53.29402376,-6.2498869,332
"MU - 369 - Breamor Road, outside the post office",53.29664136,-6.260061667,369
"MV - 333 - Beaumont Avenue, beside Marcella's takeaway",53.29482871,-6.257051511,333
"MVA - 397 - Chruchtown Road, at Luas bridge",53.29374718,-6.247655704,397
"MW - 334 - Dundrum Road, at bus stop at Flanagan's Funeral Home",53.29355533,-6.245844689,334
"MX - 335 - Waldermar Terrace, at bus stop",53.29236116,-6.245802192,335
"MY - 336 - Main Street Dundrum, outside Bank of Ireland",53.29196333,-6.245726667,336
"MZ - 337 - Main Street, outside the Permanent TSB",53.290225,-6.244633333,337
"NA - 338 - Main Street, outside Dental Surgery",53.2895202,-6.243651509,338
"NB - 339 - Kilmacud Road Upper, outside Dundrum College",53.28962865,-6.239730316,339
"NC - 340 - Kilmacud Road Upper, outside Holy Cross school",53.28935101,-6.241671045,340
ND - 341 - Ballinteer Road at Dundrum Castle Appartments,53.28791042,-6.246424684,341
"NE - 342 - Ballinteer Road, at bus stop on Bridge over Dundrum by-pass",53.28891025,-6.245318751,342
"NF - 343 - Willow Road, outside Little Willows Academy",53.28423899,-6.25060844,343
"NG - 344 - Ballinteer Road, outside Centra",53.27916333,-6.245105,344
"NH - 345 - Ballinteer Avenue, at bus stop beside the Coachman's pub",53.27627946,-6.2499162,345
"NI - 346 - Wyckam Way, at bus stop beside pedestrian access to Mayfield Terrace",53.27947609,-6.244824775,346
"NJ - 347 - Wyckam Way, at bus stop outside new apartment complex",53.27953635,-6.244686565,347
"NK - 348 - Brehon Field Road, at bus terminus",53.27184627,-6.247882604,348
"NL - 349 - Brehon Field Road, at bus stop, before the junction of Ballinteer Avenue",53.27362509,-6.26034,349
"NM - 350 - College Road, at entrance to Marley Park car park",53.26824567,-6.2742062,350
"NN - 351 - College Road, at entrance to Marley Park, at junction with Grange Road",53.26951994,-6.262380598,351
"NP - 353 - Grange Road, at Marley Park car park entrance",53.27860296,-6.268627653,353
"NQ - 354 - Grange Road, at pedestrian crossing, at entrance to Marley Grange",53.2792888,-6.270145209,354
"NR - 355 - Grange Road, at Hockey club entrance to Marley Park",53.27959825,-6.271583328,355
"NS - 356 - Broadford Road, at bus stop on Stoenmason's Way end",53.28076167,-6.260511667,356
"NSA - 394 - Stonemasons Way, at bus stop beside pedestrian crossing",53.28612949,-6.266396618,357
NT - 357 - Meadowbrook Leisure Centre. Acorn Road entrance,53.28241012,-6.255106333,394
"NU - 358 - Beaumount Avenue, outside the Hair Room",53.28796086,-6.25648224,358
"NV - 359 - Barton road, at pedestrian crossing at Junction of Beaumount Avenue",53.28759228,-6.256724684,359
"NW - 360 - Nutgrove Way, at bus stop outside shopping centre",53.29013232,-6.26878343,360
"NX - 361 - Nutgrove Way, at bus stop outside the park",53.29065814,-6.268928581,361
"NY - 362 - Nutgrove Avenue, at bus stop outside Loreto Park",53.29198979,-6.270064946,362
"NZ - 364 - Nutgrove Avenue, outside Day today",53.29233543,-6.271733966,363
"OA - 365 - Nutgrove Avenue, outside Silvlo's Chipper",53.29255333,-6.272463333,364
"OB - 365 - Loreto Row, beside entrance to Loreto Park",53.2913011,-6.271650389,365
"OC - 366 - Nutgrove Avenue, at bus stop outside retail park",53.2917183,-6.267732171,366
"OD - 367 - Nutgrove Avenue, at bus stop opposite the church",53.29304549,-6.261734373,367
"OE - 368 - Breamor Road, outside the Churchtown School of Motoring",53.29621768,-6.26097238,368
"OF - 370 - Breamor Road, at the pedestrian crossing",53.29638192,-6.25978914,370
"OG -371 - Breamor Road, at bus stop, outside Macari take away",53.30074563,-6.263558124,371
"OH - 372 - Dundrum Road, at bus stop at Uncle Toms Pub",53.29527232,-6.246204946,372
"OI - 373 - Dundrum Road, at bus stop opposite Uncle Toms Pub",53.29546487,-6.246076501,373
"OJ - 374 - Windy Arbour, outside Boylesports",53.30245986,-6.245123328,374
"OK -375 - Windy Arbour, at junction with Mulvey Park",53.30181565,-6.245234164,375
"OL -376 - Dundrum Road, on bridge beside Al Hussain House, at entrance to park",53.31033596,-6.247477371,376
"OM - 377 - Clonskeagh Road, at bus stop opposite AIB",53.30807833,-6.236993333,377
"ON - 378 - Clonskeagh Road, on bridge, at entrance to park",53.31312961,-6.238823489,378
"OO -379 - Clonskeagh Road, at bus stop before AIB (UCD side of the road)",53.30822833,-6.236951667,379
"OP - 380 - Goatstown Road, outside Trimbleston Apartments",53.29841954,-6.233802224,380
"OQ - 381 - Larchfield, in green area, beside bench",53.29868719,-6.236564164,381
"OR - 382 - Goatstown Road, at bus stop outside Our Lady's Grove",53.30139815,-6.233442604,382
"OS - 383 - Roebuck Road, at bus stop, opposite the main entrance to the Mosque",53.30444801,-6.235421302,383
"OT - 384 - Bird Avenue, at bus stop outside Spar",53.30524898,-6.236998698,384
"OTA - 395 - Bird Avenue, green area on front of shops",53.30536333,-6.237036667,395
"OTB - 393 - Rosemount Road, at bus stop outside Rosemount Cresent",53.30514038,-6.236016769,393
"OU - 385 - Roebuck Road, at bus stop outside the German school",53.30263734,-6.231865627,385
"OV - 386 - Deerpark Road, beside the shops",53.296265,-6.211866667,386
"OW - 387 - Mount Annville Road, at entrance to Deer Park",53.29554268,-6.219603226,387
"OX - 388 - Glenabbey Road, entrance to Deer Park",53.29392067,-6.216793748,388
